Function,Function code,Major Account Head Description,Major Account Code,Detailed Account Code Description,Detailed Account Code,2012-13 Actuals, 2013-14 Budget Estimates,2013-14 Revised Estimates,2013-14 Actuals, 2014-15 Budget Estimates,2014-15 Revised Estimates,2014-15 Actuals,2015-16 Budget Estimates,2015-16 Revised Estimates,2016-17  Budget Estimates
Public Works-General,2801,Housing,4102,Consultation Charges under JnNURM,4120095,0.56,100,50,4.1164,100,400,0,400,50,60
Public Works-General,2801,Buildings,4102,Function Halls,New Head,0,0,0,0,0,0,0,0,0,0
Total for Public Works-General (2801),,,,,,33249.56,57048,61067.02,44648.009844,123823,100030,64017.73,212950,177618.54,197235.82
Public Health,3100,Land Improvements,4101,Construction of Garbage Dumping Yards & Transfer Stations,4120012,177.73,2000,9497,7053.61671,7000,9700,7187.46,9700,7505,7810
Public Health,3100,Buildings,4102,Public Latrines & Urinals,4120026,0,0,15,4.22612,2500,900,17.84,1000,731,813.6
Public Health,3100,Buildings,4102,Burial Grounds/Crematoria,4120027,432.32,1500,1450.4,1119.11161,1200,1500,801.33,5000,3309,3327.4
Public Health,3100,Buildings,4102,Modernisation of Slaughter Houses,4120028,1161.65,3000,2000,306.64073,60,3000,2038.38,4000,1500,2000
Public Health,3100,Vehicles,4109,Purchase of New Heavy Vehicles,4120071,20.95,2000,200,0,300,0,0,2000,1900,2100
Public Health,3100,Vehicles,4109,Purchase of New Light Vehicles,4120072,0,110,51,0,51,0,1.7,0,100,100
Public Health,3100,Machinery & Equipment,4110,Dumber Bins/Garbage Dust and Litter Bins,4120087,614.35,650,300,85.68,250,200,22.7,300,310,362
Total for Public Health (3100),,,,,,2407,9260,13513.4,8569.27517,11361,15300,10069.41,22000,15355,16513
MRTS,4201,Land Improvements,4101,Land Acquisition,4120011,0,30000,23200,26842.80252,26400,26000,29726.96,18000,29278,30300
MRTS,4201,Multi Model Transport,4105,Multi Modal Transport System Phase II,4120048,0,15000,10000,1000,15000,2100,0,2500,2100,2100
Total for Mass Rapid Transport System (4201),,,,,,0,45000,33200,27842.80252,41400,28100,29726.96,20500,31378,32400
Water Supply,5100,Water Supply & Sewerage,4107,Construction & Improvements of Sewerage Lines,4120054,0,430,690,0,670,700,826.74,2500,2701.6,3424.12
Water Supply,5100,Water Supply & Sewerage,4107,Laying of Water Supply Lines,4120058,154.06,2465,2800,698.80822,3160,900,918.77,3000,3177.23,3526.05
Total for Water Supply (5100),,,,,,154.06,2895,3490,698.80822,3830,1600,1745.51,5500,5878.83,6950.17
Play Grounds ,6200,Land Improvements,4101,Construction & Improvement of Playgrounds/Stadia,4120018,351.99,1207,1340,683.73234,4000,5500,719.06,4000,2628.5,3261.71
Play Grounds ,6200,Machinery & Equipment,4110,Purchase of Play and Sports Equipment,4120085,362.8,1250,902,413.85374,1000,800,499.74,1000,858.5,739.5
Total for Play Grounds (6200),,,,,,714.79,2457,2242,1097.58608,5000,6300,1218.8,5000,3487,4001.21
Urban Forestry,6400,Construction & Improvement of City Level Parks,4101,Construction & Improvement of City Level Parks,4120014,1056.87,600,320,751.23941,1000,3000,597.77,4000,4535.18,4601.4
Urban Forestry,6400,Land Improvements,4101,Construction & Improvement of Colony Parks,4120015,718.2,890,510,1568.7381,360,2300,2697.51,1600,5364.44,5840.88
Urban Forestry,6400,Land Improvements,4101,Construction & Improvement of Traffic Islands and Central Media,4120016,366.92,56,60,22.98085,10,75,102.99,50,155,192
Urban Forestry,6400,Land Improvements,4101,Protection of Lakes & Opens Spaces,4120017,0,,10,0,1000,500,14.07,500,295,365.32
Urban Forestry,6400,Land Improvements,4101,Purchase of Plants/Translocation of plants,4120019,0,,30,5.76176,35,50,21.48,100,182.3,257.03
Total for Urban Forestry (6400),,,,,,2141.99,1546,930,2348.72012,2405,5925,3433.82,6250,10531.92,11256.63
Horticulture,6401,Construction & Improvement of City Level Parks,4101,Construction & Improvement of City Level Parks,4120014,218.67,1800,974,385.53671,2500,1300,182.93,2300,2000,2135
Horticulture,6401,Land Improvements,4101,Construction & Improvement of Colony Parks,4120015,406.75,930,530,967.2797,390,1300,1741.14,900,5201.15,6132.07
Horticulture,6401,Land Improvements,4101,Construction & Improvement of Traffic Islands and Central Media,4120016,186.54,193,190,37.94362,40,75,12,50,205,317
Total for Horticulture (6401),,,,,,811.96,2923,1694,1390.76003,2930,2675,1936.07,3250,7406.15,8584.07
Urban Poverty Alleviation,7800,Land Improvements,4101,Land Acquisition,4120011,7050.96,6500,5030,6511.93877,5720,6000,4510.17,4700,3500,3500
Urban Poverty Alleviation,7800,Land Improvements,4101,Construction & Improvement of Colony Parks,4120015,6.74,365,215,32.2529,250,300,15.9,100,250,215
Urban Poverty Alleviation,7800,Land Improvements,4101,Construction & Improvement of Playgrounds/Stadia,4120018,0,293,321,12.35692,1000,1800,16.57,1000,412,463
Urban Poverty Alleviation,7800,Buildings,4102,Construction of Community Buildings,4120023,494.82,1009,1150,421.39199,1110,1500,149.48,3600,2234,1939
Urban Poverty Alleviation,7800,Housing,4102,Construction of Housing Units for Poor,4120029,6414.55,66365,10000,6034.57372,27347.45,43300,7648.76,45000,25000,25000
Urban Poverty Alleviation,7800,"Bridges, Flyovers & Subways",4103,"Construction of Bridges, ROB, RUB, culverts & flyovers",4120031,0,2000,2000,27.51125,2360,2200,0,1500,1119,1223
Urban Poverty Alleviation,7800,"Bridges, Flyovers & Subways",4103,Construction of subways & Foot Over Bridges,4120034,76.75,500,310,0,320,320,0,400,200,250
Urban Poverty Alleviation,7800,Roads & Pavements,4104,Major Road Development/Upgradation,4120041,84.77,1855,2850,147.63761,7600,4100,2237.14,20000,20826,27953
Urban Poverty Alleviation,7800,Roads & Pavements,4104,Minor Road Development/Upgradation,4120042,48.34,5500,3160,289.88472,6270,4600,266.01,4000,4377,4566
Urban Poverty Alleviation,7800,Roads & Pavements,4104,Footpaths and Table Drains,4120044,0,50,10,0,10,100,0,100,90,79
Urban Poverty Alleviation,7800,Multi Model Transport,4105,Traffic Signals & Signage,4120047,0,900,900,0,540,500,0,100,51,72
Urban Poverty Alleviation,7800,Storm Water Drainage,4106,Construction & Improvements of Major Storm Water Drainage,4120051,5.57,2880,5220,0,7360,7300,2592.99,3000,3550,3800
Urban Poverty Alleviation,7800,Storm Water Drainage,4106,Construction & Improvements of Minor Storm Water Drainage,4120052,13.48,3900,3190,104.13891,3900,2000,189.17,2000,1925,2075
Urban Poverty Alleviation,7800,Water Supply & Sewerage,4107,Construction & Improvements of Sewerage Lines,4120054,29.87,800,1280,0,1260,600,53.07,2000,930,1000
Urban Poverty Alleviation,7800,Water Supply & Sewerage,4107,Laying of Water Supply Lines,4120058,3.92,35,35,100.18956,40,400,145.2,1000,473,533
Urban Poverty Alleviation,7800,Machinery & Equipment,4110,RO Plants,4120097,0,0,0,0,2000,0,34.58,5000,2500,2800
Total for Urban Poverty Alleviation (7800),,,,,,14229.77,92952,35671,13681.87635,67087.45,75020,17859.04,93500,67437,75468
Advertisement ,9300,Multi Model Transport,4105,Erection of Modern Bus Shelters,4120050,0,1500,500,0,700,300,0,1500,1554,1903
Total for Advertisement (9300),,,,,,0,1500,500,0,700,300,0,1500,1554,1903
,,,,Total Capital Expenditure ,,56332.95,227100,163722.42,102872.188134,271189.45,253900,135885.9,381800,328774.09,363061.7
